Component,Element,Property,Value,Location,Priority,Issue
"ActivityLog","spacing","padding","py-12","/Users/griffin/Projects/firefighterHub/src/components/ActivityLog.tsx:151","secondary",""
"ActivityLog","spacing","padding","py-12","/Users/griffin/Projects/firefighterHub/src/components/ActivityLog.tsx:157","secondary",""
"ActivityLog","spacing","padding","py-12","/Users/griffin/Projects/firefighterHub/src/components/ActivityLog.tsx:191","secondary",""
"ActivityLogModal","touchTarget","height","h-100","/Users/griffin/Projects/firefighterHub/src/components/ActivityLogModal.tsx:61","secondary",""
"BattalionChiefLogin","touchTarget","height","h-5","/Users/griffin/Projects/firefighterHub/src/components/BattalionChiefLogin.tsx:142","primary",""
"BattalionChiefLogin","","","","","",⚠️ Touch target below WCAG 44px: h-5 at /Users/griffin/Projects/firefighterHub/src/components/BattalionChiefLogin.tsx:142"
"Breadcrumb","spacing","margin","mb-6","/Users/griffin/Projects/firefighterHub/src/components/Breadcrumb.tsx:18","secondary",""
"Calendar","spacing","padding","px-6","/Users/griffin/Projects/firefighterHub/src/components/Calendar.tsx:200","secondary",""
"Calendar","spacing","padding","py-4","/Users/griffin/Projects/firefighterHub/src/components/Calendar.tsx:200","secondary",""
"CalendarSubscribeModal","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarSubscribeModal.tsx:210","primary",""
"CalendarSubscribeModal","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarSubscribeModal.tsx:243","primary",""
"CalendarSubscribeModal","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarSubscribeModal.tsx:290","primary",""
"CalendarSubscribeModal","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarSubscribeModal.tsx:295","primary",""
"CalendarSubscribeModal","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/CalendarSubscribeModal.tsx:210"
"CalendarSubscribeModal","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/CalendarSubscribeModal.tsx:243"
"CalendarSubscribeModal","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/CalendarSubscribeModal.tsx:290"
"CalendarSubscribeModal","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/CalendarSubscribeModal.tsx:295"
"CalendarView","spacing","padding","px-6","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:115","secondary",""
"CalendarView","spacing","padding","py-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:115","secondary",""
"CalendarView","spacing","padding","p-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:118","secondary",""
"CalendarView","spacing","padding","p-3","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:119","secondary",""
"CalendarView","touchTarget","height","h-6","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:120","primary",""
"CalendarView","color","text","text-red-500","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:120","tertiary",""
"CalendarView","text","fontSize","text-2xl","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:121","primary",""
"CalendarView","color","text","text-gray-100","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:121","tertiary",""
"CalendarView","text","fontSize","text-sm","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:127","tertiary",""
"CalendarView","spacing","padding","px-3","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:127","secondary",""
"CalendarView","spacing","padding","py-1","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:127","secondary",""
"CalendarView","color","text","text-gray-300","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:127","tertiary",""
"CalendarView","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:134","secondary",""
"CalendarView","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:137","secondary",""
"CalendarView","touchTarget","height","h-5","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:140","primary",""
"CalendarView","color","text","text-gray-300","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:140","tertiary",""
"CalendarView","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:144","secondary",""
"CalendarView","touchTarget","height","h-5","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:147","primary",""
"CalendarView","color","text","text-gray-300","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:147","tertiary",""
"CalendarView","spacing","margin","ml-2","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:150","secondary",""
"CalendarView","spacing","padding","px-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:150","secondary",""
"CalendarView","spacing","padding","py-2","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:150","secondary",""
"CalendarView","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:150","secondary",""
"CalendarView","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:156","primary",""
"CalendarView","spacing","padding","p-6","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:164","secondary",""
"CalendarView","text","fontSize","text-sm","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:170","tertiary",""
"CalendarView","spacing","padding","px-3","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:170","secondary",""
"CalendarView","spacing","padding","py-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:170","secondary",""
"CalendarView","color","text","text-gray-400","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:170","tertiary",""
"CalendarView","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:208","tertiary",""
"CalendarView","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:208","secondary",""
"CalendarView","touchTarget","height","h-5","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:208","primary",""
"CalendarView","color","bg","bg-red-600","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:208","tertiary",""
"CalendarView","spacing","margin","mt-1","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:215","secondary",""
"CalendarView","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:231","tertiary",""
"CalendarView","spacing","padding","px-2","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:231","secondary",""
"CalendarView","color","text","text-gray-500","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:231","tertiary",""
"CalendarView","spacing","padding","p-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:244","secondary",""
"CalendarView","spacing","padding","px-6","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:244","secondary",""
"CalendarView","spacing","padding","pb-6","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:244","secondary",""
"CalendarView","spacing","padding","p-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:246","secondary",""
"CalendarView","color","border","border-red-900","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:246","tertiary",""
"CalendarView","spacing","margin","mb-2","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:247","secondary",""
"CalendarView","touchTarget","height","h-8","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:248","primary",""
"CalendarView","color","text","text-red-500","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:248","tertiary",""
"CalendarView","text","fontSize","text-3xl","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:249","primary",""
"CalendarView","color","text","text-gray-100","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:249","tertiary",""
"CalendarView","text","fontSize","text-sm","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:251","tertiary",""
"CalendarView","color","text","text-gray-400","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:251","tertiary",""
"CalendarView","spacing","padding","p-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:255","secondary",""
"CalendarView","spacing","margin","mb-2","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:256","secondary",""
"CalendarView","touchTarget","height","h-8","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:257","primary",""
"CalendarView","color","text","text-blue-400","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:257","tertiary",""
"CalendarView","text","fontSize","text-3xl","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:258","primary",""
"CalendarView","color","text","text-gray-100","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:258","tertiary",""
"CalendarView","text","fontSize","text-sm","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:260","tertiary",""
"CalendarView","color","text","text-gray-400","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:260","tertiary",""
"CalendarView","spacing","padding","p-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:264","secondary",""
"CalendarView","color","border","border-emerald-900","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:264","tertiary",""
"CalendarView","spacing","margin","mb-2","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:265","secondary",""
"CalendarView","touchTarget","height","h-8","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:266","primary",""
"CalendarView","color","text","text-emerald-500","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:266","tertiary",""
"CalendarView","text","fontSize","text-3xl","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:267","primary",""
"CalendarView","color","text","text-gray-100","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:267","tertiary",""
"CalendarView","text","fontSize","text-sm","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:269","tertiary",""
"CalendarView","color","text","text-gray-400","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:269","tertiary",""
"CalendarView","spacing","padding","p-4","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:273","secondary",""
"CalendarView","color","border","border-amber-900","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:273","tertiary",""
"CalendarView","spacing","margin","mb-2","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:274","secondary",""
"CalendarView","touchTarget","height","h-8","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:275","primary",""
"CalendarView","color","text","text-amber-500","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:275","tertiary",""
"CalendarView","text","fontSize","text-3xl","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:276","primary",""
"CalendarView","color","text","text-gray-100","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:276","tertiary",""
"CalendarView","text","fontSize","text-sm","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:278","tertiary",""
"CalendarView","color","text","text-gray-400","/Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:278","tertiary",""
"CalendarView","","","","","",⚠️ Touch target below WCAG 44px: h-6 at /Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:120"
"CalendarView","","","","","",⚠️ Touch target below WCAG 44px: h-5 at /Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:140"
"CalendarView","","","","","",⚠️ Touch target below WCAG 44px: h-5 at /Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:147"
"CalendarView","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:156"
"CalendarView","","","","","",⚠️ Touch target below WCAG 44px: h-5 at /Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:208"
"CalendarView","","","","","",⚠️ Touch target below WCAG 44px: h-8 at /Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:248"
"CalendarView","","","","","",⚠️ Touch target below WCAG 44px: h-8 at /Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:257"
"CalendarView","","","","","",⚠️ Touch target below WCAG 44px: h-8 at /Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:266"
"CalendarView","","","","","",⚠️ Touch target below WCAG 44px: h-8 at /Users/griffin/Projects/firefighterHub/src/components/CalendarView.tsx:275"
"CalendarView","","","","","",⚠️ Hardcoded colors found (22 instances) - should use design tokens"
"ConfirmDialog","spacing","padding","p-4","/Users/griffin/Projects/firefighterHub/src/components/ConfirmDialog.tsx:95","secondary",""
"ConfirmDialog","touchTarget","height","h-5","/Users/griffin/Projects/firefighterHub/src/components/ConfirmDialog.tsx:120","primary",""
"ConfirmDialog","spacing","padding","p-6","/Users/griffin/Projects/firefighterHub/src/components/ConfirmDialog.tsx:124","secondary",""
"ConfirmDialog","spacing","padding","p-4","/Users/griffin/Projects/firefighterHub/src/components/ConfirmDialog.tsx:126","secondary",""
"ConfirmDialog","spacing","margin","mb-4","/Users/griffin/Projects/firefighterHub/src/components/ConfirmDialog.tsx:126","secondary",""
"ConfirmDialog","spacing","margin","mt-1","/Users/griffin/Projects/firefighterHub/src/components/ConfirmDialog.tsx:164","secondary",""
"ConfirmDialog","spacing","padding","p-3","/Users/griffin/Projects/firefighterHub/src/components/ConfirmDialog.tsx:173","secondary",""
"ConfirmDialog","spacing","margin","mt-6","/Users/griffin/Projects/firefighterHub/src/components/ConfirmDialog.tsx:173","secondary",""
"ConfirmDialog","","","","","",⚠️ Touch target below WCAG 44px: h-5 at /Users/griffin/Projects/firefighterHub/src/components/ConfirmDialog.tsx:120"
"ErrorBoundary","spacing","padding","p-8","/Users/griffin/Projects/firefighterHub/src/components/ErrorBoundary.tsx:109","secondary",""
"ErrorBoundary","touchTarget","height","min-h-[400px]","/Users/griffin/Projects/firefighterHub/src/components/ErrorBoundary.tsx:109","secondary",""
"ErrorBoundary","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/ErrorBoundary.tsx:143","primary",""
"ErrorBoundary","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/ErrorBoundary.tsx:150","primary",""
"ErrorBoundary","spacing","margin","mt-4","/Users/griffin/Projects/firefighterHub/src/components/ErrorBoundary.tsx:156","secondary",""
"ErrorBoundary","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/ErrorBoundary.tsx:143"
"ErrorBoundary","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/ErrorBoundary.tsx:150"
"FilterPanel","spacing","padding","p-4","/Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:46","secondary",""
"FilterPanel","touchTarget","height","h-5","/Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:86","primary",""
"FilterPanel","spacing","margin","mb-6","/Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:93","secondary",""
"FilterPanel","spacing","margin","mb-6","/Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:115","secondary",""
"FilterPanel","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:133","primary",""
"FilterPanel","spacing","margin","mb-6","/Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:142","secondary",""
"FilterPanel","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:160","primary",""
"FilterPanel","spacing","margin","mb-6","/Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:169","secondary",""
"FilterPanel","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:187","primary",""
"FilterPanel","spacing","margin","mb-6","/Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:196","secondary",""
"FilterPanel","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:214","primary",""
"FilterPanel","touchTarget","height","h-4","/Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:230","primary",""
"FilterPanel","","","","","",⚠️ Touch target below WCAG 44px: h-5 at /Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:86"
"FilterPanel","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:133"
"FilterPanel","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:160"
"FilterPanel","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:187"
"FilterPanel","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:214"
"FilterPanel","","","","","",⚠️ Touch target below WCAG 44px: h-4 at /Users/griffin/Projects/firefighterHub/src/components/FilterPanel.tsx:230"
"FirefighterItem","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:90","tertiary",""
"FirefighterItem","spacing","padding","p-3","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:90","secondary",""
"FirefighterItem","spacing","padding","px-4","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:90","secondary",""
"FirefighterItem","spacing","padding","py-1","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:90","secondary",""
"FirefighterItem","spacing","padding","p-1","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:90","secondary",""
"FirefighterItem","color","bg","bg-amber-500","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:90","tertiary",""
"FirefighterItem","color","text","text-gray-900","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:90","tertiary",""
"FirefighterItem","spacing","padding","p-5","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:96","secondary",""
"FirefighterItem","spacing","margin","mb-4","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:97","secondary",""
"FirefighterItem","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:99","secondary",""
"FirefighterItem","spacing","margin","mr-2","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:99","secondary",""
"FirefighterItem","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:108","secondary",""
"FirefighterItem","spacing","margin","mb-2","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:108","secondary",""
"FirefighterItem","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:125","secondary",""
"FirefighterItem","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:131","tertiary",""
"FirefighterItem","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:139","tertiary",""
"FirefighterItem","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:140","tertiary",""
"FirefighterItem","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:155","secondary",""
"FirefighterItem","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:160","tertiary",""
"FirefighterItem","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:167","tertiary",""
"FirefighterItem","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:174","tertiary",""
"FirefighterItem","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:191","tertiary",""
"FirefighterItem","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:212","secondary",""
"FirefighterItem","spacing","padding","p-3","/Users/griffin/Projects/firefighterHub/src/components/FirefighterItem.tsx:288","secondary",""
"FirefighterList","spacing","padding","px-6","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:260","secondary",""
"FirefighterList","spacing","padding","pb-6","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:260","secondary",""
"FirefighterList","spacing","margin","mx-6","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:291","secondary",""
"FirefighterList","spacing","padding","p-1","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:314","secondary",""
"FirefighterList","color","bg","bg-gray-700","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:314","tertiary",""
"FirefighterList","touchTarget","height","h-5","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:324","primary",""
"FirefighterList","touchTarget","height","h-5","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:326","primary",""
"FirefighterList","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:336","secondary",""
"FirefighterList","spacing","padding","px-4","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:462","secondary",""
"FirefighterList","spacing","padding","py-2","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:462","secondary",""
"FirefighterList","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:502","secondary",""
"FirefighterList","text","fontSize","text-base","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:515","secondary",""
"FirefighterList","spacing","padding","px-1","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:515","secondary",""
"FirefighterList","spacing","padding","px-4","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:590","secondary",""
"FirefighterList","spacing","padding","py-4","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:590","secondary",""
"FirefighterList","spacing","padding","p-1","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:592","secondary",""
"FirefighterList","text","fontSize","text-xs","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:596","tertiary",""
"FirefighterList","spacing","padding","px-1","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:596","secondary",""
"FirefighterList","spacing","padding","py-0","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:596","secondary",""
"FirefighterList","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:618","secondary",""
"FirefighterList","spacing","padding","px-4","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:654","secondary",""
"FirefighterList","spacing","padding","py-2","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:654","secondary",""
"FirefighterList","spacing","padding","p-1","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:655","secondary",""
"FirefighterList","spacing","padding","p-2","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:656","secondary",""
"FirefighterList","spacing","padding","px-1","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:663","secondary",""
"FirefighterList","spacing","padding","py-0","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:663","secondary",""
"FirefighterList","color","bg","bg-amber-900","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:663","tertiary",""
"FirefighterList","color","text","text-amber-200","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:663","tertiary",""
"FirefighterList","spacing","padding","px-4","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:672","secondary",""
"FirefighterList","spacing","padding","py-2","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:672","secondary",""
"FirefighterList","spacing","padding","p-1","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:673","secondary",""
"FirefighterList","spacing","margin","mt-6","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:731","secondary",""
"FirefighterList","spacing","padding","pt-6","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:731","secondary",""
"FirefighterList","color","border","border-gray-700","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:731","tertiary",""
"FirefighterList","spacing","padding","p-3","/Users/griffin/Projects/firefighterHub/src/components/FirefighterList.tsx:750","secondary",""
